DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
ANTH,644,PEOPLE AND PROTECTED AREAS,"Osterhoudt,Sarah Rae",6,6,3.95,3.926,100,0,0,0,0
ANTH,648,"POWER, SUBJECTIVITY,&THE STATE","Friedman,Sara Lizbeth",13,15,3.746,3.796,76.9,23.1,0,0,0
ANTH,660,ARTS IN ANTHROPOLOGY SEMINAR,"Royce,Anya Peterson",9,11,4,3.843,100,0,0,0,0
ANTH,500,HIST ANTH THGHT 19TH-20TH CENT,"Gilley,Brian Joseph",14,15,4,3.884,100,0,0,0,1
ANTH,200,LANGUAGE AND CULTURE,"Suslak,Daniel Frank",78,96,3.317,3.168,55.1,33.3,7.7,0,10
ANTH,200,INTRODUCTION TO ARCHAEOLOGY,"King,Stacie Marie",49,58,3.245,3.043,42.9,46.9,6.1,0,2
ANTH,240,ARCHAEOLOGY AND THE MOVIES,"Ketchum,Sheena A",16,21,3.738,3.14,81.3,18.8,0,0,1
ANTH,330,HISTORICAL ARCHAEOLOGY,"Sievert,April K.",33,38,3.418,3.188,42.4,51.5,6.1,0,0
ANTH,401,CULTURAL RESOURCE MANAGEMENT,"Alt,Susan M",14,17,2.671,3.199,42.9,21.4,7.1,21.4,1
ANTH,445,POTS AND PEOPLE,"Alt,Susan M",8,11,3.5,3.18,62.5,25,12.5,0,2
ASCS,377,THE ART OF MEANINGFUL WORK,"Scott-Harmon,Shelly R",16,16,3.8,2.925,87.5,12.5,0,0,0
AST,100,THE SOLAR SYSTEM,"Patel,Saahil Sunil",39,48,2.964,2.862,35.9,41,15.4,5.1,2
AST,100,THE SOLAR SYSTEM,"Steiman-Cameron,Thomas Y",224,264,2.804,2.921,29.5,43.3,15.2,4.5,8
AST,100,THE SOLAR SYSTEM,"Mufson,Stuart Lee",209,255,2.567,2.883,23.4,33.5,27.3,8.1,23
AST,103,SEARCH FOR LIFE THE UNIVERSE,"Desai,Karna Mahadev",41,57,3.315,3.045,46.3,48.8,2.4,0,1
AST,105,STARS AND GALAXIES,"Lugger,Phyllis M.",220,252,2.794,2.958,35.5,30.5,19.5,10.9,12
AST,105,STARS AND GALAXIES,"Cohn,Haldan Neal",226,260,2.751,2.898,32.3,29.2,26.5,6.6,7
AST,221,GENERAL ASTRONOMY I,"Deliyannis,Constantine P.",36,46,2.958,2.983,33.3,41.7,13.9,5.6,6
AST,305,MOD OBSERVATIONAL TECHNIQUES,"Pilachowski,Catherine A.",8,11,3.488,3.22,50,37.5,12.5,0,1
AST,505,PRIN & TECH OF OBSERV AST,"Rhode,Katherine L",7,8,3.514,3.638,42.9,57.1,0,0,0
BIOC,501,INTEGRATED BIOCHEMISTRY,"Bochman,Matt L.",15,15,3.493,3.726,53.3,46.7,0,0,0
BIOC,511,DUPLICATING/EXPRESSING GENOME,"Bell,Stephen David",6,6,3.567,3.787,66.7,33.3,0,0,0
BIOC,580,INTRO TO BIOCHEMICAL RESEARCH,"Bauer,Carl E.",10,10,4,3.676,100,0,0,0,0
BIOL,351,FUNGI,"Tansey,Michael R.",36,40,3.156,3.155,50,19.4,27.8,0,0
