DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Mojonnier,Laura Ellen",146,157,3.144,3.155,46.6,34.2,10.3,6.8,6
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Hanratty,Pamela",52,70,2.879,3.023,34.6,28.8,28.8,0,9
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Ruf Jr,Edward W",35,57,2.431,2.824,25.7,25.7,31.4,2.9,15
BIOL,104,INTRODUCTORY BIOLOGY LECTURES,"Bender,Alan David",44,58,3.384,3.161,52.3,38.6,9.1,0,3
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Tansey,Michael R.",126,152,2.794,2.96,38.9,23,22.2,10.3,5
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Tansey,Michael R.",53,61,2.879,2.966,35.8,30.2,24.5,3.8,5
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Tansey,Michael R.",98,114,2.644,2.953,33.7,18.4,30.6,11.2,7
BIOL,111,"FNDTNS OF BIOL:DIVRS,EVOL,ECOL","Tansey,Michael R.",58,63,2.79,2.943,39.7,22.4,15.5,19,1
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Berndtson,Amy",143,159,3.157,3.363,43.4,35,18.2,2.1,9
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Tennessen,Jason",76,94,3.2,3.275,55.3,25,10.5,5.3,11
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Dunn,Megan Marie",91,101,2.787,3.102,35.2,28.6,24.2,6.6,6
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Dunn,Megan Marie",168,185,2.696,3.009,26.8,35.1,25,6.5,10
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Chooi,Yean W",72,79,3.253,3.298,48.6,30.6,18.1,1.4,3
BIOL,112,FNDTNS OF BIOL:BIOL MECHANISMS,"Chooi,Yean W",183,199,2.978,3.038,42.1,32.2,13.1,9.3,8
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",21,27,3.329,3.017,52.4,38.1,9.5,0,2
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",21,25,3.538,3.466,57.1,38.1,4.8,0,3
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",22,27,3.591,3.291,72.7,18.2,4.5,4.5,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,28,3.396,3.378,62.5,25,8.3,4.2,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,27,3.565,3.177,60.9,34.8,4.3,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,26,3.463,3.253,75,16.7,0,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",22,29,3.577,3.505,77.3,13.6,0,9.1,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",23,25,3.509,3.465,52.2,47.8,0,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,27,3.604,3.52,70.8,25,4.2,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,29,3.538,3.346,79.2,12.5,4.2,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",21,29,3.3,3.081,38.1,52.4,9.5,0,3
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,27,3.525,3.381,87.5,4.2,0,0,0
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,27,3.588,3.394,70.8,20.8,8.3,0,1
BIOL,113,BIOLOGY LABORATORY,"Hengeveld,James David",24,25,3.763,3.346,75,25,0,0,0
