DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W,WX,I,R
ANTH,101,SUSTAINABILITY AND SOCIETY,"Brondizio,Eduardo Sonnewend",25,31,3.684,3.359,72,28,0,0,3,3,0,0
ANTH,200,SOCIAL & CULTURAL ANTHROPOLOGY,"Bigozhin,Ulan Zeinullaevich",60,70,2.912,2.957,36.7,40,10,10,7,3,0,0
ANTH,300,CULTURE AREAS & ETHNIC GROUPS,"Buggenhagen,Beth Anne",25,30,3.704,3.172,84,12,4,0,1,4,0,0
ANTH,300,CULTURE AREAS & ETHNIC GROUPS,"Buggenhagen,Beth Anne",9,12,3.344,3.089,55.6,33.3,11.1,0,0,2,1,0
ANTH,300,CULTURE AREAS & ETHNIC GROUPS,"Conrad,Sara Marie",14,16,3.321,3.158,57.1,28.6,14.3,0,0,2,0,0
ANTH,317,ETHNOGRAPHIES OF MEDIA WORLDS,"Gershon,Ilana M.",28,33,3.379,3.279,57.1,39.3,0,0,2,3,0,0
ANTH,338,"STIGMA: CLTR, IDENT & ABJECT","Seizer,Susan Amy",16,21,3.1,2.999,50,31.3,6.3,0,4,1,0,0
ANTH,345,CHINA THRGH ANTHROPOLOGCL EYES,"Barber,Suzanne Marie",11,12,3.645,3.125,72.7,27.3,0,0,0,1,0,0
ANTH,383,A WORLD OF WORK,"Gershon,Ilana M.",24,35,2.825,2.837,33.3,37.5,16.7,8.3,1,10,0,0
ANTH,398,PEOPLES & CULTRS CENTRAL ASIA,"Shahrani,Nazif Mohib",6,8,3.267,3.185,33.3,50,16.7,0,0,2,0,0
ANTH,421,FOOD AND CULTURE,"Robinson,Jennifer Meta",23,26,3.287,3.017,39.1,56.5,0,0,0,3,0,0
ANTH,422,NATIVE AMER & INDIGENOUS MEDIA,"Lepselter,Susan Claudia",18,22,3.578,3.29,77.8,16.7,0,0,1,3,0,0
ANTH,437,POWER & VIOLENCE IN ETHN PERSP,"Goodman,Jane E.",14,19,3.464,3.103,78.6,14.3,0,0,2,3,0,0
ANTH,502,INTRODUCTION TO PERFORMANCE,"Lepselter,Susan Claudia",6,9,4,3.922,100,0,0,0,1,1,1,0
ANTH,606,RES METH IN CULTURAL ANTH,"Greene,Shane",15,15,4,3.9,100,0,0,0,0,0,0,0
ANTH,674,ANTHROPOLOGY OF HUMAN RIGHTS,"Sterling,Marvin Dale",9,11,4,3.882,100,0,0,0,0,1,1,0
ANTH,200,LANGUAGE AND CULTURE,"Suslak,Daniel Frank",60,73,3.228,3.103,45,41.7,11.7,0,8,4,1,0
ANTH,204,LANG AND (IN)TOLERANCE,"Lesourd,Philip Stanley",15,20,3.673,3.225,73.3,26.7,0,0,2,3,0,0
ANTH,400,SEM IN ETHNOGRAPHY OF COMM,"Lesourd,Philip Stanley",8,9,3.288,3.349,37.5,50,12.5,0,1,0,0,0
ANTH,500,PROSEMINAR IN LANG & CULTURE,"Suslak,Daniel Frank",9,11,4,3.847,100,0,0,0,1,0,1,0
ANTH,200,INTRODUCTION TO ARCHAEOLOGY,"Alt,Susan M",38,46,2.939,2.802,34.2,44.7,10.5,2.6,3,5,0,0
ANTH,314,EARLY PREHISTORY OF AFRICA,"Sept,Jeanne M",12,15,3.367,3.24,58.3,25,16.7,0,0,2,1,0
ANTH,361,PREHISTORY OF MIDWESTERN U.S.,"Alt,Susan M",14,18,3.286,3.325,57.1,14.3,28.6,0,2,2,0,0
ANTH,407,ARCHAEOLOGICAL CURATION,"Sievert,April K.",8,8,4,3.444,100,0,0,0,0,0,0,0
ANTH,371,UGRD TEACHING PRACTICUM,"Cook,Della C.",12,12,4,3.565,100,0,0,0,0,0,0,0
ANTH,476,MUSEUM PRACTICUM,"Jackson,Jason Baird",7,7,4,2.985,100,0,0,0,0,0,0,0
ANTH,490,INDIVIDUAL READINGS IN ANTH,"Sept,Jeanne M",7,8,4,3.238,100,0,0,0,0,0,1,0
ARTH,101,ANCIENT AND MEDIEVAL ART,"Horne,Martin",57,68,2.563,2.957,21.1,38.6,26.3,5.3,7,4,0,0
ARTH,102,RENAISSANCE THROUGH MODERN ART,"Deusner,Melody Barnett",114,131,2.911,3.077,42.1,29.8,14,8.8,6,10,0,0
ARTH,200,TOPICS IN ART HISTORY,"Gleisser,Faye Raquel",21,27,3.495,3.245,71.4,19,4.8,0,3,3,0,0
ARTH,206,CLASSICAL ART & ARCHEOLOGY,"Van Voorhis,Julie",85,98,3.214,3.023,42.4,47.1,7.1,2.4,3,9,1,0
ARTH,276,EYE OF BEHOLDER: ART & PERC,"Molotiu,Andrei",14,20,3.936,3.197,100,0,0,0,3,3,0,0
ARTH,282,THE ART OF THE COMIC BOOK,"Molotiu,Andrei",25,30,3.46,2.97,56,28,16,0,1,3,1,0
ARTH,290,ARCHITECTURE FOR PLANET EARTH,"Rothstein,Bret",21,38,2.61,3.138,14.3,42.9,38.1,4.8,3,14,0,0
ARTH,300,TOPICS IN ART HISTORY,"Wolfskill,Phoebe",17,25,3.318,3.318,41.2,52.9,5.9,0,1,5,2,0
ARTH,337,AGE OF RUBENS AND REMBRANDT,"Rothstein,Bret",23,25,2.857,3.287,21.7,56.5,13,4.3,0,2,0,0
ARTH,340,TOPICS IN MODERN ART,"Molotiu,Andrei",24,29,3.821,3.231,83.3,16.7,0,0,2,2,1,0
ARTH,341,19TH CENTURY EUROPEAN ART,"Facos,Michelle",44,54,3.173,3.206,56.8,15.9,20.5,0,4,2,2,0
ARTH,355,ART/CRFT/TEC SUB-SAHARAN AFRCA,"Pelrine,Diane M",16,20,3.381,3.429,56.3,31.3,12.5,0,1,1,2,0
ARTH,391,MUSEUM STDS II: MUSEUM EXHIB,"Gealt,Adelheid M. M.",8,11,3.8,3.02,87.5,12.5,0,0,1,2,0,0
ARTH,410,TOPICS IN ANCIENT ART,"Van Voorhis,Julie",7,10,3.486,3.261,71.4,14.3,14.3,0,2,1,0,0
ARTH,446,"AMERICAN ART, 1865-1945","Deusner,Melody Barnett",13,19,3.338,3.269,61.5,15.4,23.1,0,0,5,1,0
ARTH,490,TOPICS IN ART HISTORY,"Gleisser,Faye Raquel",8,10,3.713,3.55,87.5,0,12.5,0,1,1,0,0
ARTH,501,TOPICS IN ANCIENT ART,"Van Voorhis,Julie",8,9,4,3.947,100,0,0,0,0,1,0,0
ARTH,558,"AMERICAN ART, 1865-1945","Deusner,Melody Barnett",8,8,3.963,3.898,100,0,0,0,0,0,0,0
ARTH,580,TOPICS IN ART HISTORY,"Gleisser,Faye Raquel",8,10,3.8,3.837,87.5,12.5,0,0,1,0,0,0
ARTH,650,PROBLEMS IN AFRICAN ART,"McNaughton,Patrick R.",7,10,4,3.925,100,0,0,0,0,2,1,0
ARTH,667,PROBLEMS IN ISLAMIC ART,"Graves,Margaret Susanna",9,10,3.933,3.916,100,0,0,0,0,1,0,0
ASCS,377,THE ART OF MEANINGFUL WORK,"Scott-Harmon,Shelly R",27,34,3.389,2.934,51.9,44.4,0,3.7,2,4,0,0
AST,100,THE SOLAR SYSTEM,"Gerber,Jeffrey Miles",39,58,2.685,3.131,25.6,35.9,28.2,2.6,3,16,0,0
AST,100,THE SOLAR SYSTEM,"Winans,Amanda Joelle",39,48,3.092,2.937,51.3,17.9,20.5,7.7,3,6,0,0
AST,100,THE SOLAR SYSTEM,"Mufson,Stuart Lee",61,91,3.041,3.12,29.5,52.5,14.8,1.6,10,19,0,0
